,player,x_start,y_start,recipient_name,x_end,y_end,pass_type,pass_outcome
578,Marco Verratti,77.8,18.3,Federico Chiesa,83.8,28.9,,
579,Federico Chiesa,84.1,34.8,Bryan Cristante,97.8,34.5,,Incomplete
580,Giorgio Chiellini,47.7,0.1,Leonardo Bonucci,38.9,30.6,Throw-in,
581,Leonardo Bonucci,39.2,28.9,Marco Verratti,50.0,14.8,,
582,Marco Verratti,63.2,21.1,Lorenzo Insigne,70.9,27.5,,
583,Lorenzo Insigne,70.9,27.5,Leonardo Bonucci,49.2,36.0,,
584,Leonardo Bonucci,54.9,40.9,Marco Verratti,56.1,28.3,,
585,Marco Verratti,56.9,27.2,Giorgio Chiellini,67.5,18.6,,
586,Giorgio Chiellini,70.3,17.4,Federico Chiesa,82.7,22.0,,
587,Federico Chiesa,83.0,21.7,Marco Verratti,64.1,28.0,,
588,Marco Verratti,64.1,28.0,Jorge Luiz Frello Filho,68.0,40.3,,
589,Jorge Luiz Frello Filho,76.1,52.6,Marco Verratti,70.6,36.6,,
590,Marco Verratti,72.3,36.6,Federico Chiesa,85.3,38.9,,
591,Federico Chiesa,88.6,38.3,Lorenzo Insigne,94.7,36.3,,
592,Lorenzo Insigne,88.6,30.6,Jorge Luiz Frello Filho,67.7,43.7,,
593,Jorge Luiz Frello Filho,68.0,46.6,Leonardo Bonucci,63.5,35.1,,
594,Leonardo Bonucci,67.7,35.1,Giorgio Chiellini,73.8,7.2,,
595,Giorgio Chiellini,73.8,7.2,Marco Verratti,68.0,16.0,,
596,Marco Verratti,69.8,20.9,Jorge Luiz Frello Filho,64.4,46.0,,
597,Jorge Luiz Frello Filho,72.3,55.1,Bryan Cristante,86.4,66.3,,
598,Bryan Cristante,91.5,74.3,Domenico Berardi,96.7,79.2,,
599,Domenico Berardi,96.7,79.2,Giovanni Di Lorenzo,82.4,73.7,,
600,Giovanni Di Lorenzo,75.8,71.5,Leonardo Bonucci,61.2,47.8,,
601,Leonardo Bonucci,63.2,46.3,Marco Verratti,68.3,30.6,,
602,Marco Verratti,67.0,25.4,Giorgio Chiellini,71.8,11.8,,
603,Giorgio Chiellini,71.8,11.8,Emerson Palmieri dos Santos,87.0,2.0,,
604,Emerson Palmieri dos Santos,87.0,2.0,Giorgio Chiellini,70.6,7.4,,
605,Giorgio Chiellini,70.6,7.4,Marco Verratti,65.5,22.0,,
606,Marco Verratti,64.1,26.9,Jorge Luiz Frello Filho,72.3,40.0,,
607,Jorge Luiz Frello Filho,70.0,48.6,Giovanni Di Lorenzo,67.7,74.3,,
608,Giovanni Di Lorenzo,62.4,66.9,Marco Verratti,63.5,33.7,,
609,Marco Verratti,64.4,31.8,Giorgio Chiellini,68.6,16.3,,
610,Giorgio Chiellini,68.3,17.1,Federico Chiesa,78.4,27.2,,
611,Giorgio Chiellini,9.4,31.8,Marco Verratti,21.2,32.6,Recovery,
612,Marco Verratti,30.9,21.1,Federico Chiesa,40.9,16.8,,Incomplete
